USER_ID,USER_NAME,ROLE,PROJECT_ID,PROJECT_NAME,ALLOCATION_START,ALLOCATION_END,ACTIVITY,MON_HRS,TUE_HRS,WED_HRS,THUR_HRS,FRI_HRS,SAT_HRS,Q1,Q2,Q3,Q4,Q5,USER_COMMENTS
1,Franklin Axton,intern,4960.0,Cardify,2023-08-10,2025-12-14,Deploying a cloud-based solution,8.0,5.0,7.0,3.0,8.0,3.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,5320.0,Span,2023-06-21,2025-07-20,Deploying a cloud-based solution,8.0,5.0,7.0,3.0,8.0,3.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,5690.0,Rank,2024-01-08,2027-01-18,Deploying a cloud-based solution,8.0,5.0,7.0,3.0,8.0,3.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,6120.0,Cookley,2025-03-11,2026-01-09,Deploying a cloud-based solution,8.0,5.0,7.0,3.0,8.0,3.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,4960.0,Cardify,2023-08-10,2025-12-14,Performing code reviews,4.0,11.0,11.0,10.0,10.0,11.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,5320.0,Span,2023-06-21,2025-07-20,Performing code reviews,4.0,11.0,11.0,10.0,10.0,11.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,5690.0,Rank,2024-01-08,2027-01-18,Performing code reviews,4.0,11.0,11.0,10.0,10.0,11.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,6120.0,Cookley,2025-03-11,2026-01-09,Performing code reviews,4.0,11.0,11.0,10.0,10.0,11.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,4960.0,Cardify,2023-08-10,2025-12-14,Deploying a cloud-based solution,5.0,3.0,6.0,4.0,3.0,3.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,5320.0,Span,2023-06-21,2025-07-20,Deploying a cloud-based solution,5.0,3.0,6.0,4.0,3.0,3.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,5690.0,Rank,2024-01-08,2027-01-18,Deploying a cloud-based solution,5.0,3.0,6.0,4.0,3.0,3.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,6120.0,Cookley,2025-03-11,2026-01-09,Deploying a cloud-based solution,5.0,3.0,6.0,4.0,3.0,3.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,4960.0,Cardify,2023-08-10,2025-12-14,Performing code reviews,6.0,11.0,4.0,3.0,12.0,6.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,5320.0,Span,2023-06-21,2025-07-20,Performing code reviews,6.0,11.0,4.0,3.0,12.0,6.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,5690.0,Rank,2024-01-08,2027-01-18,Performing code reviews,6.0,11.0,4.0,3.0,12.0,6.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,6120.0,Cookley,2025-03-11,2026-01-09,Performing code reviews,6.0,11.0,4.0,3.0,12.0,6.0,4.0,5.0,2.0,1.0,3.0,pede ac diam cras pellentesque volutpat
1,Franklin Axton,intern,4960.0,Cardify,2023-08-10,2025-12-14,Deploying a cloud-based solution,8.0,5.0,7.0,3.0,8.0,3.0,3.0,5.0,3.0,4.0,3.0,
